LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-122.0246521,36.965212,80,FRONT ST,249,,,,95060,,4368405644401288
-122.0246521,36.965212,80,FRONT ST,307B,,,,95060,,8781cd5271c0b3b4
-122.0246521,36.965212,80,FRONT ST,307A,,,,95060,,1527ccc39eae4b37
-122.0246521,36.965212,80,FRONT ST,308A,,,,95060,,40d4a8c9ea8f7cb5
-122.0246521,36.965212,80,FRONT ST,308B,,,,95060,,6ec9ac6305ef9b78
-122.0246521,36.965212,80,FRONT ST,309,,,,95060,,7df8c488f9336297
-122.0246521,36.965212,80,FRONT ST,310,,,,95060,,e6927d6a94e62e87
-122.0246521,36.965212,80,FRONT ST,311A,,,,95060,,f35c41e128625913
-122.0246521,36.965212,80,FRONT ST,302A,,,,95060,,cd3d599e317f7439
-122.0246521,36.965212,80,FRONT ST,312A,,,,95060,,593b3c7dbf47ad97
-122.0246521,36.965212,80,FRONT ST,314A,,,,95060,,20db15e5c1a79d8f
-122.0246521,36.965212,80,FRONT ST,302B,,,,95060,,42564b3e4c3c0d62
-122.0246521,36.965212,80,FRONT ST,315A,,,,95060,,4b479287de36315a
-122.0246521,36.965212,80,FRONT ST,304B,,,,95060,,e07ef678dd14c54a
-122.0246521,36.965212,80,FRONT ST,315B,,,,95060,,192f6a011eb3901a
-122.0246521,36.965212,80,FRONT ST,316A,,,,95060,,9045f2a8b460b1b4
-122.0246521,36.965212,80,FRONT ST,317A,,,,95060,,263cd3d144253888
-122.0246521,36.965212,80,FRONT ST,311B,,,,95060,,3abe826b8a0d62f2
-122.0246521,36.965212,80,FRONT ST,301A,,,,95060,,891af2ce5760cec2
-122.0246521,36.965212,80,FRONT ST,319,,,,95060,,42ed58f06320eeed
-122.0246521,36.965212,80,FRONT ST,312B,,,,95060,,e351b187cf9b05e5
-122.0246521,36.965212,80,FRONT ST,320B,,,,95060,,d84157e82e98ee83
-122.0246521,36.965212,80,FRONT ST,321,,,,95060,,156a13ae85399a31
-122.0246521,36.965212,80,FRONT ST,322B,,,,95060,,47f62687c6bc7d65
-122.0246521,36.965212,80,FRONT ST,314B,,,,95060,,3f77ba8cd7c44bc9
-122.0246521,36.965212,80,FRONT ST,323,,,,95060,,313b60864ae661a8
-122.0246521,36.965212,80,FRONT ST,324A,,,,95060,,9f0d372ce0654a26
-122.0246521,36.965212,80,FRONT ST,324B,,,,95060,,b49ba1c2bce80c08
-122.0246521,36.965212,80,FRONT ST,325A,,,,95060,,d9c64582df7152b8
-122.0246521,36.965212,80,FRONT ST,327,,,,95060,,1e5ee74cb8132637
-122.0246521,36.965212,80,FRONT ST,316B,,,,95060,,ace43e4bb2ef247c
-122.0246521,36.965212,80,FRONT ST,328,,,,95060,,7c76aae24d16d924
-122.0246521,36.965212,80,FRONT ST,329A,,,,95060,,caa4f1c24a1e535d
-122.0246521,36.965212,80,FRONT ST,330,,,,95060,,35ff4e0cc2621282
-122.0246521,36.965212,80,FRONT ST,331A,,,,95060,,9054e46bb8de907d
-122.0246521,36.965212,80,FRONT ST,331B,,,,95060,,8b93787ba9507e34
-122.0246521,36.965212,80,FRONT ST,317B,,,,95060,,0983e6a1e54c90b5
-122.0246521,36.965212,80,FRONT ST,333,,,,95060,,22ec9ccce0979b16
-122.0246521,36.965212,80,FRONT ST,335A,,,,95060,,6264171183cac701
-122.0246521,36.965212,80,FRONT ST,335B,,,,95060,,c557aa781d7abc56
-122.0246521,36.965212,80,FRONT ST,337A,,,,95060,,b7fba05b0617f928
-122.0246521,36.965212,80,FRONT ST,339,,,,95060,,937323dee0a8d4bb
-122.0246521,36.965212,80,FRONT ST,322A,,,,95060,,4fa503cb3ea7f004
-122.0246521,36.965212,80,FRONT ST,343A,,,,95060,,cb5d276935c93cc2
-122.0246521,36.965212,80,FRONT ST,325B,,,,95060,,38a8856db1cd749e
-122.0246521,36.965212,80,FRONT ST,345A,,,,95060,,0264558331baf28b
-122.0246521,36.965212,80,FRONT ST,329B,,,,95060,,1733f0567e90654e
-122.0246521,36.965212,80,FRONT ST,320A,,,,95060,,a389703d515f29fe
-122.0246521,36.965212,80,FRONT ST,347,,,,95060,,bd0a3430b9bf3377
